iteration,avg_score,num_samples,epsilon
1,7.01,30413,0.2000
2,5.00,35180,0.1900
3,34.85,45603,0.1805
4,41.57,45873,0.1715
5,36.72,43956,0.1629
6,36.24,43931,0.1548
7,38.12,44008,0.1470
8,41.81,44861,0.1397
9,48.02,46219,0.1327
10,52.02,47064,0.1260
11,54.55,47393,0.1197
12,55.40,47712,0.1138
13,56.64,48036,0.1081
14,58.61,48519,0.1027
15,58.76,48094,0.0975
16,59.40,48111,0.0927
17,60.21,48465,0.0880
18,60.25,47982,0.0836
19,62.21,49013,0.0794
20,61.93,48617,0.0755
21,62.44,48680,0.0717
22,62.66,48831,0.0681
23,61.77,48549,0.0647
24,62.15,48828,0.0615
25,62.94,49013,0.0584
26,62.73,48780,0.0555
27,62.82,49010,0.0527
28,63.75,49276,0.0501
29,63.90,49393,0.0500
30,63.21,49393,0.0500
31,63.47,49517,0.0500
32,63.30,49156,0.0500
33,63.67,49232,0.0500
34,63.81,49497,0.0500
35,63.36,49306,0.0500
36,62.75,49007,0.0500
37,62.70,48984,0.0500
38,63.12,49136,0.0500
39,63.46,49191,0.0500
40,63.67,49468,0.0500
41,64.17,49801,0.0500
42,64.27,49510,0.0500
43,63.28,49003,0.0500
44,63.32,49204,0.0500
45,63.62,49396,0.0500
46,63.84,49110,0.0500
47,63.46,49359,0.0500
48,64.12,49665,0.0500
49,63.86,49785,0.0500
50,64.06,49694,0.0500
51,63.51,49386,0.0500
52,64.07,49618,0.0500
53,63.64,49307,0.0500
54,63.56,49314,0.0500
55,64.35,49604,0.0500
56,64.62,49578,0.0500
57,64.73,49724,0.0500
58,64.23,49870,0.0500
59,64.04,49344,0.0500
60,64.62,49879,0.0500
61,64.41,49665,0.0500
62,64.70,49815,0.0500
63,64.11,49476,0.0500
64,63.76,49675,0.0500
